
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 692ms
 GET /manifest.webmanifest 200 in 5ms (compile: 1807µs, render: 3ms)
 GET /principal/parcelas 200 in 11ms (compile: 1988µs, render: 9ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 1782µs, render: 4ms)
✓ Compiled in 62ms
 GET /manifest.webmanifest 200 in 4ms (compile: 1322µs, render: 2ms)
 GET /principal/parcelas 200 in 74ms (compile: 47ms, render: 27ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1946µs, render: 3ms)
 GET /principal/parcelas 200 in 91ms (compile: 2ms, render: 88ms)
✓ Compiled in 53ms
 GET / 200 in 46ms (compile: 11ms, render: 35ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1954µs, render: 2ms)
 GET /principal 200 in 15ms (compile: 1904µs, render: 13ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1632µs, render: 3ms)
 GET /principal/parcelas 200 in 67ms (compile: 51ms, render: 16ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1500µs, render: 3ms)
⚠ Fast Refresh had to perform a full reload due to a runtime error.
✓ Compiled in 47ms
 GET /principal/parcelas 200 in 149ms (compile: 35ms, render: 114ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1899µs, render: 2ms)
 GET / 200 in 26ms (compile: 2ms, render: 24ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1845µs, render: 2ms)
 GET /principal 200 in 15ms (compile: 1857µs, render: 13ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1605µs, render: 3ms)
 GET /principal/parcelas 200 in 10ms (compile: 1635µs, render: 8ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1266µs, render: 2ms)
 GET /principal/parcelas 200 in 35ms (compile: 2ms, render: 33ms)
 GET / 200 in 30ms (compile: 5ms, render: 25ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1375µs, render: 3ms)
 GET /principal 200 in 14ms (compile: 1813µs, render: 12ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1533µs, render: 2ms)
 GET /principal/caixa 200 in 14ms (compile: 4ms, render: 10ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 2ms, render: 2ms)
 GET /principal/parcelas 200 in 67ms (compile: 51ms, render: 16ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1601µs, render: 2ms)
 GET /principal/parcelas 200 in 74ms (compile: 3ms, render: 71ms)
 GET /principal/parcelas 200 in 30ms (compile: 1889µs, render: 28ms)
✓ Compiled in 55ms
 GET / 200 in 27ms (compile: 2ms, render: 25ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
 GET /principal 200 in 15ms (compile: 1841µs, render: 13ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1540µs, render: 3ms)
 GET /principal/parcelas 200 in 52ms (compile: 40ms, render: 12ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1713µs, render: 2ms)
 GET /principal/parcelas 200 in 79ms (compile: 2ms, render: 76ms)
 GET /principal/parcelas 200 in 112ms (compile: 37ms, render: 75ms)
 GET /principal/parcelas 200 in 33ms (compile: 2ms, render: 31ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1792µs, render: 3ms)
✓ Compiled in 48ms
 GET /principal/parcelas 200 in 118ms (compile: 34ms, render: 84ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1546µs, render: 1942µs)
 GET /principal/parcelas 200 in 34ms (compile: 1903µs, render: 32ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1929µs, render: 1898µs)
 GET /manifest.webmanifest 200 in 21ms (compile: 12ms, render: 10ms)
 GET /principal/parcelas 200 in 250ms (compile: 3ms, render: 247ms)
 GET / 200 in 36ms (compile: 1880µs, render: 35ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1874µs, render: 2ms)
 GET /principal 200 in 16ms (compile: 2ms, render: 14ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1532µs, render: 2ms)
 GET /principal/parcelas 200 in 12ms (compile: 1946µs, render: 10ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1484µs, render: 3ms)
✓ Compiled in 103ms
 GET /principal/mensalidades 200 in 75ms (compile: 61ms, render: 15ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1788µs, render: 2ms)
 GET /principal/parcelas 200 in 57ms (compile: 43ms, render: 14ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1506µs, render: 3ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
 GET /principal/parcelas 200 in 17ms (compile: 2ms, render: 15ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1437µs, render: 2ms)
✓ Compiled in 58ms
✓ Compiled in 49ms
✓ Compiled in 49ms
✓ Compiled in 86ms
✓ Compiled in 47ms
⚠ Found a change in next.config.ts. Restarting the server to apply the changes...
▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 1010ms
 GET /principal/parcelas 200 in 722ms (compile: 600ms, render: 122ms)
 GET /manifest.webmanifest 200 in 57ms (compile: 48ms, render: 9ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 2ms, render: 3ms)
⚠ Found a change in next.config.ts. Restarting the server to apply the changes...
▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.134:3000

✓ Starting...
✓ Ready in 708ms
 GET /principal/parcelas 200 in 655ms (compile: 539ms, render: 116ms)
 GET /manifest.webmanifest 200 in 54ms (compile: 45ms, render: 9ms)
 GET / 200 in 50ms (compile: 38ms, render: 11ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1691µs, render: 2ms)
✓ Compiled in 97ms
 GET /msinfor-admin 200 in 356ms (compile: 311ms, render: 45ms)
