
> frontend@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000

✓ Starting...
✓ Ready in 651ms
 GET /principal/financeiro/empresa 200 in 403ms (compile: 9ms, render: 394ms)
 GET /msinfor-admin 200 in 406ms (compile: 323ms, render: 83ms)
 GET /msinfor-admin 200 in 219ms (compile: 192ms, render: 28ms)
 GET /msinfor-admin 200 in 236ms (compile: 209ms, render: 28ms)
 GET /msinfor-admin 200 in 224ms (compile: 201ms, render: 22ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1715µs, render: 4ms)
 GET / 200 in 34ms (compile: 3ms, render: 31ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 3ms, render: 2ms)
 GET /principal 200 in 17ms (compile: 2ms, render: 14ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1811µs, render: 3ms)
 GET /principal/financeiro 200 in 17ms (compile: 1968µs, render: 15ms)
 GET /manifest.webmanifest 200 in 5ms (compile: 1605µs, render: 3ms)
 GET /principal/financeiro/empresa 200 in 57ms (compile: 10ms, render: 47ms)
 GET /manifest.webmanifest 200 in 3ms (compile: 1363µs, render: 1978µs)
 GET /principal/financeiro 200 in 37ms (compile: 1818µs, render: 35ms)
 GET /principal/financeiro/bancos 200 in 46ms (compile: 8ms, render: 38ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1264µs, render: 2ms)
 GET /principal/financeiro 200 in 31ms (compile: 1867µs, render: 29ms)
 GET /principal/financeiro/resumo 200 in 48ms (compile: 9ms, render: 39ms)
 GET /manifest.webmanifest 200 in 6ms (compile: 3ms, render: 3ms)
 GET /principal/financeiro 200 in 35ms (compile: 1888µs, render: 33ms)
 GET /principal/financeiro/lotes 200 in 47ms (compile: 8ms, render: 39ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1320µs, render: 2ms)
 GET /principal/financeiro 200 in 33ms (compile: 1536µs, render: 31ms)
 GET /principal/parcelas 200 in 49ms (compile: 2ms, render: 47ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1625µs, render: 2ms)
 GET /principal/financeiro 200 in 37ms (compile: 3ms, render: 34ms)
 GET /principal/financeiro/resumo 200 in 41ms (compile: 9ms, render: 33ms)
 GET /manifest.webmanifest 200 in 4ms (compile: 1391µs, render: 3ms)
 GET /principal/financeiro/resumo 200 in 46ms (compile: 10ms, render: 36ms)
 GET /principal/financeiro/resumo 200 in 44ms (compile: 9ms, render: 35ms)
 GET / 200 in 12ms (compile: 2ms, render: 10ms)
[?25h
